"","CARREIRA","CARGO","occupation_native","occupation_english"
"571","DIRETOR ADM FINANCEIRO","DIRETOR ADM FINANCEIRO","diretor adm financeiro","financial adm director"
"572","SOLDADO COMBATENTE","SOLDADO COMBATENTE","soldado combatente","combatant soldier"
"573","SOLDADO ALUNO","SOLDADO ALUNO","soldado aluno","student"
"574","DIRETOR JURIDICO - CARHP","DIRETOR JURIDICO - CARHP","diretor juridico - carhp","legal director - carhp"
"575","ASSESSOR ESPECIAL - CARHP","ASSESSOR ESPECIAL - CARHP","assessor especial - carhp","special advisor - carhp"
"576","ASSESSOR I - CARHP","ASSESSOR I - CARHP","assessor i - carhp","advisor i - carhp"
"577","ASSESSOR III - CARHP","ASSESSOR III - CARHP","assessor iii - carhp","advisor iii - carhp"
"578","DIRETOR DE DESENV E PROJE","DIRETOR DE DESENV E PROJE","diretor de desenv e proje","development director and project"
"579","COORDENADOR ESPECIAL - PG","COORDENADOR ESPECIAL - PG","coordenador especial - pg","special coordinator - pg"
"580","COORDENADOR SETORIAL - GT","COORDENADOR SETORIAL - GT","coordenador setorial - gt","sectoral coordinator - gt"
"581","DIRETOR FINANCEIRO - CARH","DIRETOR FINANCEIRO - CARH","diretor financeiro - carh","financial director - carh"
"582","DIRETOR ADMINISTRATIVO -","DIRETOR ADMINISTRATIVO -","diretor administrativo -","administrative director -"
"583","DIRETOR PRESIDENTE - CARH","DIRETOR PRESIDENTE - CARH","diretor presidente - carh","ceo - carh"
"584","CHEFE DE GABINETE - CARHP","CHEFE DE GABINETE - CARHP","chefe de gabinete - carhp","chief of staff - carhp"
"585","GERENTE CONTABIL - AFAL","GERENTE CONTABIL - AFAL","gerente contabil - afal","accounting manager - afal"
"586","COORDENADOR DE GABINETE -","COORDENADOR DE GABINETE -","coordenador de gabinete -","cabinet coordinator -"
"587","PRESIDENTE - AFAL","PRESIDENTE - AFAL","presidente - afal","president - afal"
"588","ASSESSOR DE DIRETORIA - C","ASSESSOR DE DIRETORIA - C","assessor de diretoria - c","board advisor - c"
"589","ASSESSOR TECNICO - CARHP","ASSESSOR TECNICO - CARHP","assessor tecnico - carhp","technical advisor - carhp"
"590","DIRETOR ADM E FINANCEIRO","DIRETOR ADM E FINANCEIRO","diretor adm e financeiro","adm and financial director"
"591","DIRETOR DE OPERACOES - AF","DIRETOR DE OPERACOES - AF","diretor de operacoes - af","operations director - af"
"592","GERENTE DE COMPLIANCE - A","GERENTE DE COMPLIANCE - A","gerente de compliance - a","compliance manager - a"
"593","AGENTE DE FOMENTO - AFAL","AGENTE DE FOMENTO - AFAL","agente de fomento - afal","development agent - afal"
"594","COORDENADOR GERAL ADJ POL","COORDENADOR GERAL ADJ POL","coordenador geral adj pol","adjo general coordinator"
"595","COORDENADOR ESTADUAL DE D","COORDENADOR ESTADUAL DE D","coordenador estadual de d","state coordinator of d"
"596","PROFESSOR SUBSTITUTO","PROFESSOR SUBSTITUTO","professor substituto","substitute"
"597","ASSESSOR II - CARHP","ASSESSOR II - CARHP","assessor ii - carhp","advisor ii - carhp"
"598","DIRETOR OPERACIONAL - CAR","DIRETOR OPERACIONAL - CAR","diretor operacional - car","operational director - car"
"599","GERENTE - GTR-5","GERENTE - GTR-5","gerente - gtr-5","manager - gtr -5"
"600","GESTOR DE PROJETOS - AFAL","GESTOR DE PROJETOS - AFAL","gestor de projetos - afal","project manager - afal"
"601","AGENTE DE EDEMIAS","AGENTE DE EDEMIAS","agente de edemias","edemine agent"
"602","SUPERVISOR DE ADMINISTRAC","SUPERVISOR DE ADMINISTRAC","supervisor de administrac","administrac supervisor"
"603","ASSISTENTE FAZENDARIO","ASSISTENTE FAZENDARIO","assistente fazendario","assistant farm"
"604","AUXILIAR FAZENDARIO","AUXILIAR FAZENDARIO","auxiliar fazendario","assistant farm"
"605","ASSESSOR FAZENDARIO","ASSESSOR FAZENDARIO","assessor fazendario","advisor advisor"
"606","ASSESSOR DE REGISTRO DE C","ASSESSOR DE REGISTRO DE C","assessor de registro de c","c registration advisor"
"607","ASSESSOR ESP RELACION INS","ASSESSOR ESP RELACION INS","assessor esp relacion ins","esp report assessor ins"
"608","POLICIA CIVIL ESCRIVAO DE","POLICIA CIVIL ESCRIVAO DE","policia civil escrivao de","civil police writing of"
"609","POLICIA CIVIL AGENTE DE P","POLICIA CIVIL AGENTE DE P","policia civil agente de p","civil police agent of p agent"
"610","AUXILIAR DE SERVICOS DIVERSOS","AUXILIAR DE SERVICOS DIVERSOS","auxiliar de servicos diversos","miscellaneous service assistant"
"611","ASSISTENTE DE ADMINISTRACAO","ASSISTENTE DE ADMINISTRACAO","assistente de administracao","administration assistant"
"612","SUPERVISOR DE ADMINISTRACAO","SUPERVISOR DE ADMINISTRACAO","supervisor de administracao","administration supervisor"
"613","ASSESSOR SERVICOS ADMINITRATIVO ADJUNTO","ASSESSOR SERVICOS ADMINITRATIVO ADJUNTO","assessor servicos adminitrativo adjunto","advisor advisor advice"
"614","ASSISTENTE DE SERVICOS ADMINISTRATIVO","ASSISTENTE DE SERVICOS ADMINISTRATIVO","assistente de servicos administrativo","administrative service assistant"
"615","TECNICO DE DESENVOLVIMENTO SOCIAL","TECNICO DE DESENVOLVIMENTO SOCIAL","tecnico de desenvolvimento social","social development technician"
"616","INSTRUTOR APRENDIZAGEM TREINMENTO INDUST","INSTRUTOR APRENDIZAGEM TREINMENTO INDUST","instrutor aprendizagem treinmento indust","learning instructor industry trend"
"617","FISCAL DE TRIBUTOS ESTADUAIS IV","FISCAL DE TRIBUTOS ESTADUAIS IV","fiscal de tributos estaduais iv","state tax tax iv"
"618","AGENTE CONTROLADOR DE ARRECADACAO IV","AGENTE CONTROLADOR DE ARRECADACAO IV","agente controlador de arrecadacao iv","collection controlling agent iv"
"619","ASSESSOR ECONOMICO ORCAMENTARIO","ASSESSOR ECONOMICO ORCAMENTARIO","assessor economico orcamentario","economic advisor orcalent"
"620","FUNCIONARIO DA ASSEMBLEIA LEGISLATIVA","FUNCIONARIO DA ASSEMBLEIA LEGISLATIVA","funcionario da assembleia legislativa","legislative assembly employee"
"621","ASSESSOR DE SERVICOS ADMINISTRATIVO","ASSESSOR DE SERVICOS ADMINISTRATIVO","assessor de servicos administrativo","administrative service advisor"
"622","AUXILIAR PROGRAMADOR INDUSTRIAL","AUXILIAR PROGRAMADOR INDUSTRIAL","auxiliar programador industrial","industrial programmer assistant"
"623","ASSISTENTE DE SERVICOS ADM ADJUNTO","ASSISTENTE DE SERVICOS ADM ADJUNTO","assistente de servicos adm adjunto","assistant assistant adm assistant"
"624","ASSESSOR DE ASSUNTOS TECNICOS EDUCIONAL","ASSESSOR DE ASSUNTOS TECNICOS EDUCIONAL","assessor de assuntos tecnicos educional","educational technical affair advisor"
"625","TECNICO EM SANEAMENTO BASICO AMBIENTAL","TECNICO EM SANEAMENTO BASICO AMBIENTAL","tecnico em saneamento basico ambiental","technical in basic sanitation environmental"
"626","TECNOLOGO SAN.AMBIENTAL *","TECNOLOGO SAN.AMBIENTAL *","tecnologo san.ambiental *","san. environmental technologist *"
"627","PROCURADOR JUNTA COMERCIAL","PROCURADOR JUNTA COMERCIAL","procurador junta comercial","attorney board"
"628","ASSESSOR DE REGISTRO DE COMERCIO","ASSESSOR DE REGISTRO DE COMERCIO","assessor de registro de comercio","trade registration advisor"
"629","INSPETOR DE REGISTRO DE COMERCIO","INSPETOR DE REGISTRO DE COMERCIO","inspetor de registro de comercio","trade registration inspector"
"630","TECNICO EM CADASTRO COMERCIANTE","TECNICO EM CADASTRO COMERCIANTE","tecnico em cadastro comerciante","technical in meritant registration"
"631","INSPETOR AUXILIAR DE REGISTRO COMERCIO","INSPETOR AUXILIAR DE REGISTRO COMERCIO","inspetor auxiliar de registro comercio","commerce registration assistant inspector"
"632","AUX.DE SERVICO DE ENGENHARIA RODOVIARIA","AUX.DE SERVICO DE ENGENHARIA RODOVIARIA","aux.de servico de engenharia rodoviaria","aux.de engineering service highway"
"633","OPERADOR DE MAQUINA RODOVIARIA","OPERADOR DE MAQUINA RODOVIARIA","operador de maquina rodoviaria","highway machine operator"
"634","FISCAL DE TRANSPORTE COLETIVO","FISCAL DE TRANSPORTE COLETIVO","fiscal de transporte coletivo","public transportation inspector"
"635","TECNICO DE LABORATORIO RODOVIARIO","TECNICO DE LABORATORIO RODOVIARIO","tecnico de laboratorio rodoviario","road laboratory technician"
"636","AUXILIAR DE LABORATORIO RODOVIARIO","AUXILIAR DE LABORATORIO RODOVIARIO","auxiliar de laboratorio rodoviario","highway laboratory assistant"
"637","SUPERVISOR DE SEGURANCA DO TRABALHO","SUPERVISOR DE SEGURANCA DO TRABALHO","supervisor de seguranca do trabalho","work safety supervisor"
"638","FUNCIONARIO DA ASSEMBLEIA DE ALAGOAS","FUNCIONARIO DA ASSEMBLEIA DE ALAGOAS","funcionario da assembleia de alagoas","employee of alagoas assembly"
"639","AUXILIAR DE SERVICOS GERAIS","AUXILIAR DE SERVICOS GERAIS","auxiliar de servicos gerais","general service assistant"
"640","TECNICO EM RECURSOS HUMANOS","TECNICO EM RECURSOS HUMANOS","tecnico em recursos humanos","human resources technician"
"641","FUNCIONARIO DO GOVERNO RIO DE JANEIRO","FUNCIONARIO DO GOVERNO RIO DE JANEIRO","funcionario do governo rio de janeiro","government employee rio de janeiro"
"642","FISCAL DE TRIBUTOS ESTADUAIS III","FISCAL DE TRIBUTOS ESTADUAIS III","fiscal de tributos estaduais iii","state tax taxes iii"
"643","AGENTE CONTROLADOR DE ARRECADACAO III","AGENTE CONTROLADOR DE ARRECADACAO III","agente controlador de arrecadacao iii","collection controlling agent iii"
"644","FISCAL DE TRIBUTOS ESTADUAIS II","FISCAL DE TRIBUTOS ESTADUAIS II","fiscal de tributos estaduais ii","state taxes ii"
"645","AGENTE CONTROLADOR DE ARRECADACAO II","AGENTE CONTROLADOR DE ARRECADACAO II","agente controlador de arrecadacao ii","collection controlling agent ii"
"646","TECNICO FORENSE","TECNICO FORENSE","tecnico forense","forensic technician"
"647","LOCUTOR APRESENTADOR ANIMADOR","LOCUTOR APRESENTADOR ANIMADOR","locutor apresentador animador","animating presenter announcer"
"648","OPERADOR DE MAQUINA DE CARACTERES","OPERADOR DE MAQUINA DE CARACTERES","operador de maquina de caracteres","character machine operator"
"649","OPERADOR DE CONTROLE MESTRE","OPERADOR DE CONTROLE MESTRE","operador de controle mestre","master control operator"
"650","TECNICO DE MANUTENCAO - TV","TECNICO DE MANUTENCAO - TV","tecnico de manutencao - tv","maintenance technician - tv"
"651","LOCUTOR NOTICIARISTA DE TV","LOCUTOR NOTICIARISTA DE TV","locutor noticiarista de tv","tv tv announcer"
"652","LOCUTOR NOTICIARISTA DE RADIO","LOCUTOR NOTICIARISTA DE RADIO","locutor noticiarista de radio","radio news announcer"
"653","TECNICO DE MANUTANCAO ELETROTECNICA","TECNICO DE MANUTANCAO ELETROTECNICA","tecnico de manutancao eletrotecnica","electrotechnical maintenance technician"
"654","COORDENADOR DE PROGRAMACAO","COORDENADOR DE PROGRAMACAO","coordenador de programacao","programming coordinator"
"655","TECNICO EM ODONTOLOGIA","TECNICO EM ODONTOLOGIA","tecnico em odontologia","technical in dentistry"
"656","SUPERVISOR TECNICO DE RADIO E TV","SUPERVISOR TECNICO DE RADIO E TV","supervisor tecnico de radio e tv","radio and tv technical supervisor"
"657","FISCAL ESTADUAL AGROPECUARIO","FISCAL ESTADUAL AGROPECUARIO","fiscal estadual agropecuario","agroperal state tax"
"658","PREFEITURA MUNICIPAL DE MATA GRANDE","PREFEITURA MUNICIPAL DE MATA GRANDE","prefeitura municipal de mata grande","matter city hall of mata grande"
"659","AGENTE FISCAL AGROPECUARIO","AGENTE FISCAL AGROPECUARIO","agente fiscal agropecuario","fiscal agent agricultural"
"660","ASSISTENTE ADMINISTRATIVO AGROPECUARIO","ASSISTENTE ADMINISTRATIVO AGROPECUARIO","assistente administrativo agropecuario","administrative assistant agropecuary"
"661","AUXILIAR DE SERVICOS AGROPECUARIO","AUXILIAR DE SERVICOS AGROPECUARIO","auxiliar de servicos agropecuario","agricultural service assistant"
"662","SERV. PREF. MUNICIPAL DE ARACAJU","SERV. PREF. MUNICIPAL DE ARACAJU","serv. pref. municipal de aracaju","serv. pref. aracaju municipal"
"663","DIRETOR DE DESENV E PROJETOS - AFAL","DIRETOR DE DESENV E PROJETOS - AFAL","diretor de desenv e projetos - afal","director of development and projects - afal"
"664","AUXILIAR TECNICO ESPECIALIZADO","AUXILIAR TECNICO ESPECIALIZADO","auxiliar tecnico especializado","specialized technical assistant"
"665","GESTOR ESP CIENCIA E TEC - GERAL","GESTOR ESP CIENCIA E TEC - GERAL","gestor esp ciencia e tec - geral","manager"
"666","GESTOR ESP CIENCIA E TEC - ADMINISTRADOR","GESTOR ESP CIENCIA E TEC - ADMINISTRADOR","gestor esp ciencia e tec - administrador","manager esp ciencia and tec - administrator"
"667","GER GESTAO ADM PESSOAS E INFORMACOES","GER GESTAO ADM PESSOAS E INFORMACOES","ger gestao adm pessoas e informacoes","ger gestion adm people and information"
"668","GESTOR ESP CIENCIA E TEC - JORNALISTA","GESTOR ESP CIENCIA E TEC - JORNALISTA","gestor esp ciencia e tec - jornalista","manager esp ciencia and tec - journalist"
"669","DIRETOR FINANCEIRO - CARHP","DIRETOR FINANCEIRO - CARHP","diretor financeiro - carhp","financial director - carhp"
"670","ASSISTENTE TEC. ESP. - TEC. CONT.","ASSISTENTE TEC. ESP. - TEC. CONT.","assistente tec. esp. - tec. cont.","assistant tec. esp. - tec. cont."
"671","GESTOR ESP. EM CIENCIA E TEC. -  COMP.","GESTOR ESP. EM CIENCIA E TEC. -  COMP.","gestor esp. em ciencia e tec. -  comp.","esp. in science and tec. - comp."
"672","GESTOR ESP. EM CIENCIA E TEC. -  ECON.","GESTOR ESP. EM CIENCIA E TEC. -  ECON.","gestor esp. em ciencia e tec. -  econ.","esp. in science and tec. - econ."
"673","GESTOR ESP. EM CIENCIA E TEC. -  CONT.","GESTOR ESP. EM CIENCIA E TEC. -  CONT.","gestor esp. em ciencia e tec. -  cont.","esp. in science and tec. - cont."
"674","ASSIST. EM SERVICOS DE EDUCACAO","ASSIST. EM SERVICOS DE EDUCACAO","assist. em servicos de educacao","assist on education services"
"675","AUXILIAR EM SERVICOS DE EDUCACAO","AUXILIAR EM SERVICOS DE EDUCACAO","auxiliar em servicos de educacao","assistant in education services"
"676","TEC EM MULTIMEIOS DIDATICOS","TEC EM MULTIMEIOS DIDATICOS","tec em multimeios didaticos","tec in didactic multimedia"
"677","COORDENADOR DE GABINETE - AFAL","COORDENADOR DE GABINETE - AFAL","coordenador de gabinete - afal","cabinet coordinator - afal"
"678","AUXILIAR TECNICO ADMINISTRATIVO","AUXILIAR TECNICO ADMINISTRATIVO","auxiliar tecnico administrativo","administrative technical assistant"
"679","ASSESSOR DE DIRETORIA - CARHP","ASSESSOR DE DIRETORIA - CARHP","assessor de diretoria - carhp","board advisor - carhp"
"680","GER GESTAO PLAN ORC E FINANCAS","GER GESTAO PLAN ORC E FINANCAS","ger gestao plan orc e financas","ger management plan orc and finances"
"681","DIRETOR ADM E FINANCEIRO - AFAL","DIRETOR ADM E FINANCEIRO - AFAL","diretor adm e financeiro - afal","adm and finance director - afal"
"682","ADVOGADO/ASSESSOR JURIDICO - AFAL","ADVOGADO/ASSESSOR JURIDICO - AFAL","advogado/assessor juridico - afal","lawyer/legal advisor - afal"
"683","DIRETOR DE OPERACOES - AFAL","DIRETOR DE OPERACOES - AFAL","diretor de operacoes - afal","operations director - afal"
"684","ASSESSOR DE COMUNICACAO - ASC-1","ASSESSOR DE COMUNICACAO - ASC-1","assessor de comunicacao - asc-1","communication advisor - asc -1"
"685","POLICIA CIVIL ESCRIVAO DE POLICIA","POLICIA CIVIL ESCRIVAO DE POLICIA","policia civil escrivao de policia","civil police police writing"
"686","POLICIA CIVIL AGENTE DE POLICIA","POLICIA CIVIL AGENTE DE POLICIA","policia civil agente de policia","civil police police agent"
"687","ASSESSOR ESPECIAL DE GESTAO DE SISTEMAS","ASSESSOR ESPECIAL DE GESTAO DE SISTEMAS","assessor especial de gestao de sistemas","special systems management advisor"
"688","SUPERINT. DE PLANEJAMENTO, ORCAMENTO, FI","SUPERINT. DE PLANEJAMENTO, ORCAMENTO, FI","superint. de planejamento, orcamento, fi","superint. planning, orcamento, fi"
"689","GERENTE DE CONTABILIDADE","GERENTE DE CONTABILIDADE","gerente de contabilidade","accounting manager"
"690","SUPERINT. DA ESCOLA DE GOVERNO","SUPERINT. DA ESCOLA DE GOVERNO","superint. da escola de governo","superint. of the government school"
"691","SUPERINT. DE POLITICA DE RECURSOS HUMANO","SUPERINT. DE POLITICA DE RECURSOS HUMANO","superint. de politica de recursos humano","superint. human resource policy"
"692","SUPERVISOR DE ESTUDOS E PESQUISA SALARIA","SUPERVISOR DE ESTUDOS E PESQUISA SALARIA","supervisor de estudos e pesquisa salaria","supervisor of study and research salary"
"693","SUPERVISOR DE FOLHA DE PAGAMENTO","SUPERVISOR DE FOLHA DE PAGAMENTO","supervisor de folha de pagamento","payroll supervisor"
"694","GERENTE DE PATRIMONIO MOBILIARIO","GERENTE DE PATRIMONIO MOBILIARIO","gerente de patrimonio mobiliario","mobiliario heritage manager"
"695","SUPERVISOR DE DESENVOLVIMENTO DE PESSOAS","SUPERVISOR DE DESENVOLVIMENTO DE PESSOAS","supervisor de desenvolvimento de pessoas","people development supervisor"
"696","SUPERVISOR DE ALMOXARIFADO","SUPERVISOR DE ALMOXARIFADO","supervisor de almoxarifado","warehouse supervisor"
"697","SUPERINT. DE PLANEJAMENTO E POLITICAS PU","SUPERINT. DE PLANEJAMENTO E POLITICAS PU","superint. de planejamento e politicas pu","superint. puplication and policies pu"
"698","GERENTE DE PLANEJAMENTO E ORCAMENTO","GERENTE DE PLANEJAMENTO E ORCAMENTO","gerente de planejamento e orcamento","planning and orcamento manager"
"699","SUP. DE PRESTACAO DE CONTAS DE CONTRATOS","SUP. DE PRESTACAO DE CONTAS DE CONTRATOS","sup. de prestacao de contas de contratos","sup. contract accounts"
"700","SUPERVISOR DE EXECUCAO ORCAMENTARIA","SUPERVISOR DE EXECUCAO ORCAMENTARIA","supervisor de execucao orcamentaria","orcain supervisor supervisor"
"701","SUP. DE EXECUCAO ORC. DAS AREAS ECONOMIC","SUP. DE EXECUCAO ORC. DAS AREAS ECONOMIC","sup. de execucao orc. das areas economic","sup. of execution orc. economic areas"
"702","GERENTE DE OPERACAO E PROCESSAMENTO DA F","GERENTE DE OPERACAO E PROCESSAMENTO DA F","gerente de operacao e processamento da f","f operation and processing manager"
"703","SUPERVISOR DE ANALISE E CONTROLE DE CRED","SUPERVISOR DE ANALISE E CONTROLE DE CRED","supervisor de analise e controle de cred","cred analysis and control supervisor"
"704","SUPERINT. DE PERICIA MEDICA E SAUDE OCUP","SUPERINT. DE PERICIA MEDICA E SAUDE OCUP","superint. de pericia medica e saude ocup","superint. of medical expert and health"
"705","ASSESSOR ESPECIAL DE ENCARGOS DA FOLHA","ASSESSOR ESPECIAL DE ENCARGOS DA FOLHA","assessor especial de encargos da folha","special advisor to folha"
"706","SUPERINT. DE ORCAMENTO PUBLICO","SUPERINT. DE ORCAMENTO PUBLICO","superint. de orcamento publico","superint. public orcament"
"707","SUPERINT. DE VALORIZACAO DE PESSOAS","SUPERINT. DE VALORIZACAO DE PESSOAS","superint. de valorizacao de pessoas","superint. of valuing people"
"708","SUPERINT. ADMINISTRATIVO","SUPERINT. ADMINISTRATIVO","superint. administrativo","superint. administrative"
"709","FUNCIONARIO DA UFAL","FUNCIONARIO DA UFAL","funcionario da ufal","ufal"
"710","ASSESSOR ESPECIAL DE PLANEJAMENTO E ORCA","ASSESSOR ESPECIAL DE PLANEJAMENTO E ORCA","assessor especial de planejamento e orca","special planning and orca advisor"
"711","SUPERINT. DE LICITACOES E CONTR. DE OBRA","SUPERINT. DE LICITACOES E CONTR. DE OBRA","superint. de licitacoes e contr. de obra","superint. of bids and contr. work"
"712","GERENTE DE MOVIMENTACAO FUNCIONAL","GERENTE DE MOVIMENTACAO FUNCIONAL","gerente de movimentacao funcional","functional movement manager"
"713","SUPERVISOR DE PROCEDIMENTOS ADMINISTRATI","SUPERVISOR DE PROCEDIMENTOS ADMINISTRATI","supervisor de procedimentos administrati","administrati procedures supervisor"
"714","SUPERVISOR DE REGULARIZACAO DO PATRIMONI","SUPERVISOR DE REGULARIZACAO DO PATRIMONI","supervisor de regularizacao do patrimoni","patriumial regularization supervisor"
"715","ASSESSOR ESPECIAL DE GESTAO PATRIMONIAL","ASSESSOR ESPECIAL DE GESTAO PATRIMONIAL","assessor especial de gestao patrimonial","special assembly advisor"
"716","SUPERVISOR DE CONTROLE DE BENS IMOVEIS E","SUPERVISOR DE CONTROLE DE BENS IMOVEIS E","supervisor de controle de bens imoveis e","property goods control supervisor and"
"717","SUPERVISOR DE CAPACITACAO","SUPERVISOR DE CAPACITACAO","supervisor de capacitacao","capacitation supervisor"
"718","SUPERVISOR DE VALIDACAO DE CERTIFICADOS","SUPERVISOR DE VALIDACAO DE CERTIFICADOS","supervisor de validacao de certificados","certificate validation supervisor"
"719","ASSESSOR DE INTERACAO SOCIAL","ASSESSOR DE INTERACAO SOCIAL","assessor de interacao social","social interaction advisor"
"720","GERENTE DE GESTAO DOCUMENTAL","GERENTE DE GESTAO DOCUMENTAL","gerente de gestao documental","documentary management manager"
"721","SUPERVISOR DE SUPORTE AO USUARIO","SUPERVISOR DE SUPORTE AO USUARIO","supervisor de suporte ao usuario","user support supervisor"
"722","SUPERVISOR DA SECRETARIA ESCOLAR","SUPERVISOR DA SECRETARIA ESCOLAR","supervisor da secretaria escolar","school secretariat supervisor"
"723","GERENTE DE DESENVOLVIMENTO DE PESSOAS","GERENTE DE DESENVOLVIMENTO DE PESSOAS","gerente de desenvolvimento de pessoas","people development manager"
"724","SUPERVISOR DE GESTAO DE CARGOS E CARREIR","SUPERVISOR DE GESTAO DE CARGOS E CARREIR","supervisor de gestao de cargos e carreir","positions and carreir management supervisor"
"725","SUPERVISOR DE INSTRUCAO DE PROCEDIMENTOS","SUPERVISOR DE INSTRUCAO DE PROCEDIMENTOS","supervisor de instrucao de procedimentos","procedures instruction supervisor"
"726","GERENTE DE ANALISE E INSTRUCAO PROCESSUA","GERENTE DE ANALISE E INSTRUCAO PROCESSUA","gerente de analise e instrucao processua","procedural analysis and instruction manager"
"727","SUPERVISOR DE REDE FISICA","SUPERVISOR DE REDE FISICA","supervisor de rede fisica","physical network supervisor"
"728","SUPERVISOR DO FUNDO DE DESENVOLVIMENTO D","SUPERVISOR DO FUNDO DE DESENVOLVIMENTO D","supervisor do fundo de desenvolvimento d","supervisor of the development fund d"
"729","SUPERVISOR DE PROGRAMAS DE DESENVOLVIMEN","SUPERVISOR DE PROGRAMAS DE DESENVOLVIMEN","supervisor de programas de desenvolvimen","development program supervisor"
"730","ASSESSOR DE SUPERINT. DE ATENDIMENTO AO","ASSESSOR DE SUPERINT. DE ATENDIMENTO AO","assessor de superint. de atendimento ao","superint advisor. service to"
"731","GERENTE DE GESTAO DE CARGOS E CARREIRAS","GERENTE DE GESTAO DE CARGOS E CARREIRAS","gerente de gestao de cargos e carreiras","positions and career management manager"
"732","SECRETARIO EXECUTIVO DE GESTAO INTERNA","SECRETARIO EXECUTIVO DE GESTAO INTERNA","secretario executivo de gestao interna","executive secretary of internal management"
"733","SUPERINT. DE MODERNIZACAO E GESTAO DA QU","SUPERINT. DE MODERNIZACAO E GESTAO DA QU","superint. de modernizacao e gestao da qu","superint. of modernization and management of the"
"734","SUPERINT. DE TECNOLOGIA DA INFORMACAO","SUPERINT. DE TECNOLOGIA DA INFORMACAO","superint. de tecnologia da informacao","superint. information technology"
"735","ASSESSOR TECNICO DE EDUCACAO CONTINUADA","ASSESSOR TECNICO DE EDUCACAO CONTINUADA","assessor tecnico de educacao continuada","continued education technical advisor"
"736","GERENTE DE PLANEJAMENTO DA QUALIDADE","GERENTE DE PLANEJAMENTO DA QUALIDADE","gerente de planejamento da qualidade","quality planning manager"
"737","SUPERVISOR DE CAPTACAO DE RECURSOS","SUPERVISOR DE CAPTACAO DE RECURSOS","supervisor de captacao de recursos","resource capture supervisor"
"738","SUPERVISOR DE PERICIA MEDICA","SUPERVISOR DE PERICIA MEDICA","supervisor de pericia medica","medical expertise supervisor"
"739","SUPERVISOR ADMINISTRATIVO","SUPERVISOR ADMINISTRATIVO","supervisor administrativo","administrative supervisor"
"740","GERENTE DE ORCAMENTO","GERENTE DE ORCAMENTO","gerente de orcamento","orcament manager"
"741","GERENTE DE GEOPROCESSAMENTO","GERENTE DE GEOPROCESSAMENTO","gerente de geoprocessamento","geoprocessing manager"
"742","ASSESSOR TECNICO DE PERICIA MEDICA","ASSESSOR TECNICO DE PERICIA MEDICA","assessor tecnico de pericia medica","medical expertise technical advisor"
"743","ASSESSOR DE PROJETOS","ASSESSOR DE PROJETOS","assessor de projetos","project advisor"
"744","ASSESSOR EXECUTIVO DE PLANEJAMENTO E QUA","ASSESSOR EXECUTIVO DE PLANEJAMENTO E QUA","assessor executivo de planejamento e qua","planning executive advisor and wed"
"745","GERENTE DE ELABORACAO DE PROJETOS E CAPT","GERENTE DE ELABORACAO DE PROJETOS E CAPT","gerente de elaboracao de projetos e capt","project elaboration and capt manager"
"746","GERENTE DE SISTEMAS","GERENTE DE SISTEMAS","gerente de sistemas","systems manager"
"747","SUPERVISOR DE SISTEMAS DE MEDICAO","SUPERVISOR DE SISTEMAS DE MEDICAO","supervisor de sistemas de medicao","member systems supervisor"
"748","SUPERVISOR DE PROGRAMA DA QUALIDADE","SUPERVISOR DE PROGRAMA DA QUALIDADE","supervisor de programa da qualidade","quality program supervisor"
"749","GERENTE DE NORMAS E PROCEDIMENTOS DE PES","GERENTE DE NORMAS E PROCEDIMENTOS DE PES","gerente de normas e procedimentos de pes","pes standard and procedures manager"
"750","SUPERVISOR DE ENSINO","SUPERVISOR DE ENSINO","supervisor de ensino","teaching supervisor"
"751","SUPERVISOR DE MONIT.","SUPERVISOR DE MONIT.","supervisor de monit.","monit supervisor."
"752","SUPERVISORES DE ATENDIMENTO","SUPERVISORES DE ATENDIMENTO","supervisores de atendimento","services of service"
"753","SUPERVISOR ORCAMENTARIO DA AREA ECON. E","SUPERVISOR ORCAMENTARIO DA AREA ECON. E","supervisor orcamentario da area econ. e","orcarmary supervisor of area eci. and"
"754","SUPERVISOR DE TEMAS SOCIAIS E INSTRUMENT","SUPERVISOR DE TEMAS SOCIAIS E INSTRUMENT","supervisor de temas sociais e instrument","supervisor of social themes and instruments"
"755","SUPERVISOR DE REDACAO E PUBLICACAO","SUPERVISOR DE REDACAO E PUBLICACAO","supervisor de redacao e publicacao","writing and publication supervisor"
"756","SUPERVISOR DE APOIO AS CONSIGNACOES","SUPERVISOR DE APOIO AS CONSIGNACOES","supervisor de apoio as consignacoes","supporting support the consignments"
"757","ASSESSORES TECNICOS DE SERVICOS AO CIDAD","ASSESSORES TECNICOS DE SERVICOS AO CIDAD","assessores tecnicos de servicos ao cidad","technical adviors of citizen service"
"758","SUPERVISOR DE AGREGADOS ECONOMICOS","SUPERVISOR DE AGREGADOS ECONOMICOS","supervisor de agregados economicos","economic aggregate supervisor"
"759","GERENTE DO PORTAL DO GOVERNO","GERENTE DO PORTAL DO GOVERNO","gerente do portal do governo","government portal manager"
"760","SUPERVISOR ORCAMENTARIO DA AREA SOCIAL E","SUPERVISOR ORCAMENTARIO DA AREA SOCIAL E","supervisor orcamentario da area social e","social area orcamentary supervisor and"
"761","SUPERVISOR DE APOIO AO PROCESSAMENTO DA","SUPERVISOR DE APOIO AO PROCESSAMENTO DA","supervisor de apoio ao processamento da","supervisor to support the processing of"
